TaggedPitchType,AutoPitchType,PitcherThrows,Pitcher,Batter,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,PlateLocSide,PlateLocHeight,Inning,PAofInning,Balls,Strikes,PitchNo,PitchCall,HomeScore,AwayScore,Top/Bottom,Runner1B,Runner2B,Runner3B
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",90.3,2150,6.8,-3.4,6.06,-1.81,6.42,-0.048,2.231,1,4,0,0,14,StrikeCalled,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",84.3,2076,2.2,-8.3,6.04,-1.81,6.36,-0.468,2.107,1,4,0,1,15,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",90.2,2284,8.3,-3.1,5.97,-1.8,6.25,-0.181,2.4,1,4,0,2,16,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",90.3,2096,8.9,-1.8,6.06,-1.87,6.55,-0.815,1.74,1,4,0,3,17,InPlay,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",92.9,2195,8.0,-1.6,5.98,-1.82,6.27,0.817,1.873,1,5,0,0,18,BallCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",82.9,1984,6.7,12.7,5.96,-1.76,6.15,0.086,1.465,1,5,1,0,19,StrikeSwinging,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",83.3,2298,1.7,-3.4,6.12,-1.76,6.45,-1.531,2.052,1,5,1,1,20,BallCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",83.2,1700,8.5,12.3,6.08,-1.73,6.47,0.163,1.262,2,1,0,0,21,BallCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",91.5,2187,16.6,11.3,5.97,-1.82,6.29,-0.036,3.22,2,1,1,0,22,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.2,2082,6.7,-0.3,5.79,-1.83,6.23,-0.247,1.781,2,1,1,1,23,BallCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",91.2,2132,18.1,10.4,6.08,-1.78,6.16,-0.112,2.916,2,1,2,1,24,StrikeCalled,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",92.0,2151,7.8,-0.9,6.0,-1.82,6.21,-0.584,3.227,2,1,2,2,25,StrikeSwinging,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",92.2,2272,16.2,7.8,5.95,-1.82,6.2,0.004,2.288,2,2,0,0,26,FoulBall,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",83.9,2343,3.5,-4.7,6.17,-1.74,6.23,0.227,0.868,2,2,0,1,27,StrikeSwinging,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.6,2191,17.2,8.7,6.05,-1.78,6.37,-0.451,3.118,2,3,0,0,28,StrikeCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",84.4,2033,9.3,12.1,6.02,-1.92,6.22,0.248,1.085,2,3,0,1,29,BallCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.4,2115,17.7,9.0,5.87,-1.78,6.26,0.243,3.532,2,3,1,1,30,InPlay,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.3,2054,16.5,10.3,6.02,-1.79,6.26,-0.591,3.017,2,4,0,0,31,FoulBall,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",84.4,2203,2.2,-7.6,5.97,-1.76,6.18,-0.334,2.323,2,4,0,1,32,BallCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",83.8,1901,8.1,8.5,5.98,-1.87,6.31,-0.116,2.237,2,4,1,1,33,BallCalled,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.6,2103,8.2,-0.3,6.0,-1.81,6.23,-0.283,2.28,2,4,2,1,34,StrikeCalled,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",85.2,2221,0.2,-5.1,6.1,-1.86,6.42,-0.395,2.035,2,5,0,0,35,FoulBall,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",92.8,2064,19.1,10.3,5.83,-1.77,6.37,0.018,2.325,2,5,0,1,36,StrikeSwinging,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",82.9,2255,1.6,-4.0,5.93,-1.8,6.33,-0.019,2.016,2,5,0,2,37,FoulBall,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",85.0,1986,6.4,11.3,6.08,-1.83,6.24,0.671,1.697,2,5,0,2,38,StrikeSwinging,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",92.6,2082,16.9,10.9,5.97,-1.83,6.17,0.109,3.601,2,5,0,3,39,FoulBall,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",91.1,2118,7.9,-0.5,5.91,-1.85,6.19,-0.146,2.558,3,1,0,0,40,FoulBall,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",92.5,2135,16.2,9.5,6.09,-1.82,6.34,0.172,2.91,3,1,0,1,41,StrikeCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.4,2238,16.2,11.0,6.06,-1.77,6.29,0.195,2.503,3,1,0,2,42,StrikeSwinging,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",92.6,2187,16.3,12.2,5.91,-1.8,6.26,-0.271,2.605,3,2,0,0,43,BallCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",90.5,2145,17.6,10.1,6.07,-1.82,6.13,-0.478,2.836,3,2,1,0,44,StrikeCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",85.5,2133,7.2,12.2,5.97,-1.79,6.26,0.224,2.164,3,2,1,1,45,StrikeSwinging,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",84.8,1854,6.6,10.9,5.87,-1.73,6.34,0.746,2.192,3,3,0,0,46,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",87.9,2298,7.5,-3.2,6.01,-1.73,6.33,-0.286,2.75,3,3,0,1,47,FoulBall,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",83.3,1879,8.4,13.1,5.99,-1.75,6.38,0.445,2.66,3,4,0,0,48,FoulBall,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.0,2184,7.1,-0.7,5.91,-1.75,6.32,-0.507,2.358,3,4,0,1,49,FoulBall,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",83.2,2276,2.3,-6.5,6.01,-1.88,6.23,-0.757,2.307,3,5,0,0,50,StrikeCalled,0,0,Top,,,
