hitter,p_swing,p_contact,p_hard_contact,p_hard,alpha,xwoba_per_pitch
"Domínguez, Jasson",0.5,0.9208,0.7278,0.3363,0.0608,0.155
"Domínguez, Jasson",0.5979,0.2211,0.14,0.0196,0.0119,0.101
"Domínguez, Jasson",0.506,0.8362,0.4829,0.2047,0.0692,0.098
"Domínguez, Jasson",0.5914,0.4255,0.161,0.0399,0.0146,0.114
"Domínguez, Jasson",0.8645,0.6877,0.6307,0.3744,0.0326,0.114
"Domínguez, Jasson",0.3703,0.8687,0.4635,0.1488,0.0548,0.098
"Domínguez, Jasson",0.8741,0.8862,0.5396,0.4174,0.0108,0.192
"Domínguez, Jasson",0.9259,0.845,0.5644,0.4417,0.0061,0.207
"Domínguez, Jasson",0.9016,0.9329,0.6293,0.5295,0.0128,0.192
"Domínguez, Jasson",0.598,0.764,0.5905,0.2698,0.0451,0.132
"Domínguez, Jasson",0.8249,0.9145,0.7006,0.5302,0.0265,0.168
"Domínguez, Jasson",0.9611,0.8787,0.5438,0.458,0.0144,0.207
"Domínguez, Jasson",0.9375,0.7394,0.1923,0.1329,0.0176,0.114
"Domínguez, Jasson",0.907,0.768,0.5876,0.4234,0.1473,0.092
"Domínguez, Jasson",0.5604,0.9104,0.6104,0.3094,0.0623,0.155
"Domínguez, Jasson",0.8803,0.8869,0.6223,0.4887,0.0411,0.167
"Domínguez, Jasson",0.9634,0.9319,0.6793,0.6106,0.0161,0.177
"Domínguez, Jasson",0.5027,0.8991,0.6461,0.2937,0.0484,0.146
"Domínguez, Jasson",0.6681,0.9099,0.4749,0.2881,0.0278,0.124
"Domínguez, Jasson",0.914,0.8641,0.5317,0.4204,0.01,0.192
"Domínguez, Jasson",0.626,0.6792,0.2364,0.1002,0.0233,0.114
"Domínguez, Jasson",0.8726,0.8928,0.5386,0.4196,0.0319,0.167
"Domínguez, Jasson",0.6302,0.8114,0.4393,0.2238,0.0215,0.146
"Domínguez, Jasson",0.8112,0.9323,0.5209,0.3941,0.0273,0.167
"Domínguez, Jasson",0.5168,0.8089,0.3529,0.1479,0.0356,0.092
"Baldwin, Drake",0.2464,0.5699,0.362,0.0528,0.0414,0.022
"Baldwin, Drake",0.1931,0.823,0.1293,0.0204,0.0025,0.028
"Baldwin, Drake",0.8873,0.8902,0.5976,0.4714,0.0206,0.146
"Baldwin, Drake",0.9436,0.9136,0.4896,0.4221,0.0091,0.155
"Baldwin, Drake",0.9666,0.9311,0.5263,0.4759,0.0201,0.192
"Baldwin, Drake",0.3929,0.8327,0.3178,0.1068,0.0374,0.098
"Baldwin, Drake",0.9171,0.8694,0.5371,0.4282,0.0,0.207
"Baldwin, Drake",0.9159,0.7107,0.1547,0.1011,0.001,0.114
"Baldwin, Drake",0.9578,0.897,0.3529,0.302,0.0103,0.119
"Baldwin, Drake",0.5148,0.933,0.6046,0.2903,0.048,0.155
"Baldwin, Drake",0.6212,0.9355,0.6416,0.3731,0.0247,0.146
"Baldwin, Drake",0.7686,0.9331,0.6851,0.4914,0.0136,0.172
"Baldwin, Drake",0.968,0.8635,0.6205,0.5191,0.0061,0.101
"Baldwin, Drake",0.5226,0.9333,0.6251,0.3049,0.0438,0.167
"Baldwin, Drake",0.9091,0.882,0.4924,0.396,0.0152,0.192
"Baldwin, Drake",0.9693,0.939,0.5644,0.5134,0.0014,0.219
"Baldwin, Drake",0.757,0.8642,0.3567,0.2318,0.0522,0.098
"Baldwin, Drake",0.3867,0.819,0.1529,0.0493,0.0345,0.092
"Baldwin, Drake",0.6202,0.5398,0.3423,0.1146,0.0004,0.101
"Baldwin, Drake",0.205,0.4931,0.0745,0.0088,0.0059,0.147
"Baldwin, Drake",0.4892,0.3333,0.2443,0.0392,0.0049,0.114
"Baldwin, Drake",0.6929,0.8455,0.6283,0.3679,0.0255,0.124
"Baldwin, Drake",0.864,0.879,0.5693,0.4323,0.0078,0.167
"Baldwin, Drake",0.9261,0.9139,0.6559,0.556,0.0093,0.167
"Baldwin, Drake",0.8757,0.8784,0.3508,0.2695,0.0031,0.092
"Baldwin, Drake",0.4613,0.9466,0.7106,0.3102,0.0378,0.155
"Baldwin, Drake",0.6075,0.3328,0.133,0.0278,0.0092,0.101
"Baldwin, Drake",0.4653,0.8607,0.485,0.1934,0.0408,0.099
"Baldwin, Drake",0.6249,0.5223,0.1902,0.0621,0.0,0.124
"Baldwin, Drake",0.8947,0.7265,0.6042,0.3927,0.0189,0.114
"Baldwin, Drake",0.3248,0.8969,0.4506,0.1317,0.0348,0.099
"Baldwin, Drake",0.8979,0.9012,0.5092,0.4149,0.0187,0.207
"Baldwin, Drake",0.9347,0.8783,0.5192,0.4262,0.0025,0.219
"Baldwin, Drake",0.9194,0.9382,0.5999,0.5177,0.0116,0.192
"Baldwin, Drake",0.488,0.7931,0.55,0.2116,0.0608,0.132
"Baldwin, Drake",0.8759,0.9326,0.7079,0.5783,0.0174,0.192
"Baldwin, Drake",0.9579,0.8975,0.4924,0.4234,0.0115,0.207
"Baldwin, Drake",0.9421,0.7746,0.171,0.1248,0.0,0.114
"Baldwin, Drake",0.9264,0.8208,0.5804,0.4388,0.0787,0.092
"Baldwin, Drake",0.5218,0.9333,0.565,0.2752,0.0421,0.167
"Baldwin, Drake",0.928,0.9156,0.6276,0.5328,0.0323,0.172
"Baldwin, Drake",0.9678,0.9383,0.6584,0.5979,0.0163,0.192
"Baldwin, Drake",0.4737,0.9283,0.6364,0.2797,0.0398,0.146
"Baldwin, Drake",0.5831,0.9302,0.4808,0.2609,0.0179,0.131
"Baldwin, Drake",0.9201,0.8897,0.4939,0.4046,0.0032,0.207
"Baldwin, Drake",0.5755,0.7293,0.1899,0.0796,0.0016,0.114
"Baldwin, Drake",0.9165,0.9085,0.5163,0.4297,0.0075,0.177
"Baldwin, Drake",0.5755,0.8443,0.4049,0.1965,0.0017,0.146
"Baldwin, Drake",0.8645,0.9393,0.496,0.4028,0.0072,0.172
"Baldwin, Drake",0.4126,0.8225,0.3442,0.1164,0.0337,0.092
"Dingler, Dillon",0.1645,0.6003,0.3108,0.0306,0.0275,0.016
"Dingler, Dillon",0.2248,0.8466,0.1153,0.0254,0.0109,0.028
"Dingler, Dillon",0.8721,0.8755,0.5729,0.4366,0.0202,0.132
"Dingler, Dillon",0.9317,0.8842,0.4679,0.3876,0.0073,0.155
"Dingler, Dillon",0.9638,0.93,0.4896,0.4401,0.0054,0.177
"Dingler, Dillon",0.3227,0.8026,0.3,0.0783,0.0468,0.092
"Dingler, Dillon",0.9113,0.8695,0.5341,0.428,0.0056,0.207
"Dingler, Dillon",0.9106,0.7172,0.1705,0.1113,0.0352,0.114
"Dingler, Dillon",0.9355,0.8895,0.347,0.2895,0.0146,0.12
"Dingler, Dillon",0.4241,0.9079,0.602,0.2317,0.051,0.14
"Dingler, Dillon",0.7271,0.9254,0.6254,0.4204,0.0686,0.132
"Dingler, Dillon",0.7692,0.9133,0.711,0.4994,0.0461,0.167
"Dingler, Dillon",0.94,0.8235,0.6024,0.4672,0.0317,0.092
"Dingler, Dillon",0.4412,0.9081,0.6257,0.2507,0.052,0.146
"Dingler, Dillon",0.9027,0.8743,0.4894,0.387,0.0058,0.172
"Dingler, Dillon",0.9701,0.9325,0.5658,0.512,0.0045,0.192
"Dingler, Dillon",0.7551,0.8473,0.3627,0.2313,0.0395,0.092
"Dingler, Dillon",0.3181,0.7699,0.1666,0.0421,0.0396,0.077
"Dingler, Dillon",0.757,0.5906,0.342,0.1529,0.0194,0.114
"Dingler, Dillon",0.2038,0.4624,0.073,0.0078,0.0037,0.146
"Dingler, Dillon",0.4183,0.4151,0.2419,0.0431,0.0145,0.114
"Dingler, Dillon",0.7965,0.8203,0.6279,0.41,0.0418,0.114
"Dingler, Dillon",0.8641,0.8468,0.5708,0.4178,0.0101,0.155
"Dingler, Dillon",0.9121,0.8864,0.6584,0.5326,0.016,0.15
"Dingler, Dillon",0.9044,0.8552,0.333,0.2575,0.0054,0.077
"Dingler, Dillon",0.3973,0.9297,0.694,0.2543,0.064,0.146
"Dingler, Dillon",0.6085,0.3003,0.1092,0.0215,0.011,0.101
"Dingler, Dillon",0.3831,0.8281,0.4825,0.1536,0.0576,0.092
"Dingler, Dillon",0.6639,0.5668,0.1618,0.0614,0.0098,0.12
"Dingler, Dillon",0.8814,0.6668,0.6282,0.3685,0.0477,0.101
"Dingler, Dillon",0.2625,0.8705,0.4181,0.0952,0.0454,0.089
"Dingler, Dillon",0.8761,0.8892,0.4898,0.3821,0.0078,0.192
"Dingler, Dillon",0.9397,0.8703,0.54,0.4414,0.0189,0.207
"Dingler, Dillon",0.9155,0.9315,0.595,0.5075,0.0082,0.177
"Dingler, Dillon",0.3864,0.7847,0.5204,0.1579,0.0454,0.12
"Dingler, Dillon",0.868,0.9093,0.6941,0.5513,0.0543,0.168
"Dingler, Dillon",0.9566,0.8891,0.4941,0.4201,0.0105,0.192
"Dingler, Dillon",0.9431,0.7847,0.1901,0.1407,0.0004,0.114
"Dingler, Dillon",0.886,0.7465,0.5686,0.394,0.1319,0.077
"Dingler, Dillon",0.4578,0.9143,0.5923,0.2479,0.0513,0.146
"Dingler, Dillon",0.919,0.8824,0.615,0.5056,0.0477,0.155
"Dingler, Dillon",0.9614,0.9242,0.6658,0.5927,0.0296,0.172
"Dingler, Dillon",0.395,0.9086,0.6213,0.2221,0.0512,0.124
"Dingler, Dillon",0.6871,0.9101,0.4757,0.2975,0.0416,0.12
"Dingler, Dillon",0.9273,0.8884,0.4962,0.4082,0.0293,0.192
"Dingler, Dillon",0.4991,0.7158,0.1995,0.0731,0.0145,0.101
"Dingler, Dillon",0.9059,0.8869,0.4808,0.3918,0.0234,0.167
"Dingler, Dillon",0.5026,0.8399,0.4185,0.1785,0.0059,0.131
"Dingler, Dillon",0.8614,0.9304,0.4747,0.3803,0.0124,0.155
"Dingler, Dillon",0.3216,0.8181,0.305,0.0802,0.0228,0.079
"Narváez, Carlos",0.1427,0.5289,0.3157,0.026,0.025,0.008
"Narváez, Carlos",0.1726,0.8156,0.1086,0.0162,0.0075,0.015
"Narváez, Carlos",0.9142,0.8635,0.5274,0.4168,0.0289,0.146
"Narváez, Carlos",0.9254,0.8772,0.4695,0.3814,0.0129,0.147
"Narváez, Carlos",0.9603,0.9161,0.4906,0.4316,0.0108,0.192
"Narváez, Carlos",0.3168,0.7709,0.3032,0.0734,0.0395,0.092
"Narváez, Carlos",0.902,0.858,0.5405,0.4175,0.0158,0.207
"Narváez, Carlos",0.9246,0.7108,0.1698,0.1108,0.0127,0.114
"Narváez, Carlos",0.9163,0.8718,0.3045,0.2439,0.0209,0.114
"Narváez, Carlos",0.3904,0.8873,0.5879,0.2037,0.0413,0.146
"Narváez, Carlos",0.6627,0.9019,0.614,0.3695,0.0353,0.132
"Narváez, Carlos",0.8098,0.9056,0.6846,0.5019,0.0219,0.167
"Narváez, Carlos",0.9357,0.8162,0.599,0.4572,0.0411,0.098
"Narváez, Carlos",0.4107,0.8946,0.5989,0.2201,0.0396,0.146
"Narváez, Carlos",0.8893,0.8625,0.4753,0.3633,0.0076,0.168
"Narváez, Carlos",0.9701,0.9262,0.5359,0.4816,0.0022,0.207
"Narváez, Carlos",0.755,0.8422,0.3554,0.2252,0.0359,0.092
"Narváez, Carlos",0.3089,0.7435,0.1376,0.0319,0.0353,0.083
"Narváez, Carlos",0.6181,0.568,0.3486,0.1223,0.0158,0.114
"Narváez, Carlos",0.2354,0.4605,0.0477,0.0051,0.0022,0.146
"Narváez, Carlos",0.3506,0.4282,0.2425,0.036,0.0121,0.114
"Narváez, Carlos",0.7288,0.8,0.5991,0.3506,0.0382,0.114
"Narváez, Carlos",0.8912,0.8451,0.5327,0.4011,0.0081,0.167
"Narváez, Carlos",0.9548,0.8751,0.635,0.5301,0.0198,0.147
"Narváez, Carlos",0.9044,0.8623,0.3127,0.2437,0.0087,0.092
"Narváez, Carlos",0.3614,0.9373,0.6766,0.2292,0.0782,0.146
"Narváez, Carlos",0.5823,0.2438,0.0921,0.0138,0.0088,0.101
"Narváez, Carlos",0.3634,0.8187,0.4545,0.1356,0.062,0.092
"Narváez, Carlos",0.6052,0.5671,0.1609,0.0547,0.0136,0.124
"Narváez, Carlos",0.9126,0.6597,0.5839,0.3507,0.0522,0.114
"Narváez, Carlos",0.2599,0.8664,0.3699,0.0828,0.0558,0.092
"Narváez, Carlos",0.8722,0.889,0.4767,0.3686,0.0108,0.177
"Narváez, Carlos",0.9382,0.8794,0.5386,0.4438,0.0115,0.207
"Narváez, Carlos",0.9425,0.9227,0.6022,0.5239,0.0076,0.192
"Narváez, Carlos",0.355,0.7616,0.499,0.1348,0.0384,0.114
"Narváez, Carlos",0.8744,0.8893,0.6701,0.5239,0.0509,0.177
"Narváez, Carlos",0.9411,0.8778,0.474,0.3915,0.0118,0.192
"Narváez, Carlos",0.9305,0.7679,0.1838,0.1308,0.0073,0.119
"Narváez, Carlos",0.8967,0.7448,0.49,0.3437,0.1397,0.092
"Narváez, Carlos",0.41,0.8992,0.5607,0.2068,0.0488,0.146
"Narváez, Carlos",0.9244,0.8773,0.5791,0.4731,0.0478,0.167
"Narváez, Carlos",0.9687,0.9154,0.6312,0.5596,0.016,0.177
"Narváez, Carlos",0.3788,0.8915,0.5899,0.2003,0.0643,0.124
"Narváez, Carlos",0.6193,0.8807,0.4579,0.2496,0.0288,0.124
"Narváez, Carlos",0.9376,0.8874,0.4949,0.4111,0.015,0.205
"Narváez, Carlos",0.4085,0.7393,0.1883,0.0568,0.0102,0.101
"Narváez, Carlos",0.9126,0.885,0.4654,0.3792,0.0176,0.168
"Narváez, Carlos",0.4071,0.8477,0.3983,0.1379,0.0181,0.124
"Narváez, Carlos",0.8726,0.9281,0.4638,0.3777,0.0159,0.167
"Narváez, Carlos",0.2914,0.8156,0.2999,0.0718,0.0238,0.071
Shohei Ohtani,0.3026,0.5097,0.3826,0.0588,0.1517,0.022
Shohei Ohtani,0.2317,0.7973,0.1769,0.0341,0.0599,0.026
Shohei Ohtani,0.8468,0.8443,0.5756,0.4176,0.1248,0.146
Shohei Ohtani,0.9087,0.8804,0.5657,0.4526,0.0619,0.155
Shohei Ohtani,0.9492,0.9174,0.6246,0.5442,0.0597,0.192
Shohei Ohtani,0.4302,0.7848,0.3584,0.1259,0.1091,0.099
Shohei Ohtani,0.8422,0.8157,0.5909,0.4085,0.0267,0.207
Shohei Ohtani,0.8647,0.6459,0.1559,0.0902,0.0457,0.114
Shohei Ohtani,0.9271,0.8634,0.3824,0.3073,0.1057,0.124
Shohei Ohtani,0.584,0.8878,0.6353,0.3263,0.1511,0.168
Shohei Ohtani,0.6043,0.8888,0.6711,0.364,0.1442,0.155
Shohei Ohtani,0.7333,0.9077,0.7817,0.5131,0.1106,0.177
Shohei Ohtani,0.9382,0.8331,0.6094,0.4772,0.0748,0.114
Shohei Ohtani,0.6058,0.8892,0.6423,0.3434,0.1438,0.172
Shohei Ohtani,0.8493,0.828,0.5095,0.3683,0.0962,0.192
Shohei Ohtani,0.9451,0.929,0.6228,0.5473,0.0395,0.22
Shohei Ohtani,0.6802,0.8335,0.3615,0.2176,0.1751,0.099
Shohei Ohtani,0.4119,0.7384,0.1915,0.0634,0.0997,0.098
Shohei Ohtani,0.5993,0.4657,0.3563,0.1001,0.0379,0.114
Shohei Ohtani,0.2051,0.4034,0.1141,0.012,0.0683,0.147
Shohei Ohtani,0.4577,0.252,0.2523,0.0292,0.0161,0.124
Shohei Ohtani,0.7263,0.815,0.6741,0.3996,0.12,0.132
Shohei Ohtani,0.8406,0.8337,0.601,0.4225,0.0641,0.167
Shohei Ohtani,0.9019,0.8699,0.6946,0.5434,0.0765,0.167
Shohei Ohtani,0.8477,0.8604,0.412,0.3,0.0505,0.101
Shohei Ohtani,0.5037,0.9168,0.7418,0.3425,0.2111,0.172
Shohei Ohtani,0.5462,0.2245,0.1177,0.0141,0.0676,0.119
Shohei Ohtani,0.489,0.8387,0.6047,0.2465,0.2015,0.114
Shohei Ohtani,0.5027,0.3758,0.1752,0.0334,0.0234,0.124
Shohei Ohtani,0.8901,0.6689,0.6647,0.3959,0.1406,0.124
Shohei Ohtani,0.3588,0.8718,0.5373,0.1672,0.1886,0.114
Shohei Ohtani,0.8247,0.8646,0.5426,0.3929,0.1021,0.207
Shohei Ohtani,0.9097,0.8204,0.5759,0.4281,0.0346,0.219
Shohei Ohtani,0.9016,0.9069,0.6667,0.5445,0.0869,0.207
Shohei Ohtani,0.5548,0.7153,0.5998,0.2376,0.1614,0.146
Shohei Ohtani,0.7701,0.895,0.7623,0.5262,0.1226,0.192
Shohei Ohtani,0.93,0.861,0.528,0.4235,0.0738,0.207
Shohei Ohtani,0.8879,0.7059,0.2075,0.1288,0.0201,0.12
Shohei Ohtani,0.9259,0.7673,0.6718,0.4743,0.2381,0.098
Shohei Ohtani,0.6022,0.8955,0.6191,0.332,0.1495,0.168
Shohei Ohtani,0.8699,0.8606,0.6689,0.5016,0.149,0.177
Shohei Ohtani,0.9291,0.915,0.7023,0.5983,0.0576,0.192
Shohei Ohtani,0.5048,0.8986,0.6831,0.3098,0.1927,0.155
Shohei Ohtani,0.581,0.876,0.5515,0.2797,0.1249,0.132
Shohei Ohtani,0.9032,0.8215,0.515,0.3972,0.0411,0.207
Shohei Ohtani,0.5412,0.6604,0.2395,0.0849,0.0194,0.119
Shohei Ohtani,0.855,0.8872,0.5668,0.4303,0.066,0.177
Shohei Ohtani,0.5742,0.803,0.4779,0.2197,0.019,0.147
Shohei Ohtani,0.79,0.9177,0.5632,0.4103,0.0688,0.192
Shohei Ohtani,0.4759,0.7693,0.3638,0.134,0.1526,0.098
Aaron Judge,0.1997,0.4591,0.3141,0.0292,0.1288,0.006
Aaron Judge,0.1636,0.7904,0.1896,0.0252,0.0384,0.016
Aaron Judge,0.7675,0.849,0.6503,0.4238,0.0974,0.146
Aaron Judge,0.8733,0.8747,0.5438,0.4141,0.0663,0.147
Aaron Judge,0.9254,0.9115,0.6328,0.534,0.0619,0.192
Aaron Judge,0.3611,0.7658,0.2784,0.0762,0.1445,0.098
Aaron Judge,0.733,0.7223,0.5845,0.3174,0.0691,0.192
Aaron Judge,0.7347,0.5375,0.1728,0.0672,0.1051,0.098
Aaron Judge,0.8733,0.8121,0.4294,0.304,0.0625,0.132
Aaron Judge,0.4888,0.8921,0.6383,0.2784,0.141,0.168
Aaron Judge,0.5557,0.9131,0.6883,0.3481,0.1341,0.155
Aaron Judge,0.6776,0.9323,0.7338,0.4614,0.1005,0.177
Aaron Judge,0.9176,0.8417,0.6265,0.4839,0.0782,0.124
Aaron Judge,0.5111,0.8909,0.6676,0.3042,0.1343,0.177
Aaron Judge,0.7658,0.7819,0.5934,0.3526,0.0698,0.177
Aaron Judge,0.9242,0.9187,0.6343,0.5387,0.0343,0.233
Aaron Judge,0.5826,0.7282,0.3557,0.1806,0.1552,0.099
Aaron Judge,0.3632,0.7267,0.106,0.0276,0.1221,0.092
Aaron Judge,0.4101,0.3804,0.3131,0.0491,0.1024,0.098
Aaron Judge,0.1478,0.2973,0.1158,0.0106,0.0315,0.147
Aaron Judge,0.3348,0.1942,0.1778,0.0112,0.1214,0.114
Aaron Judge,0.6363,0.8086,0.663,0.3403,0.1224,0.132
Aaron Judge,0.743,0.8136,0.5905,0.3615,0.0899,0.167
Aaron Judge,0.9051,0.8974,0.7319,0.5928,0.0819,0.177
Aaron Judge,0.8439,0.8624,0.4222,0.3106,0.0496,0.119
Aaron Judge,0.4122,0.9496,0.7597,0.2992,0.1772,0.172
Aaron Judge,0.3766,0.1201,0.0961,0.0046,0.0898,0.114
Aaron Judge,0.5101,0.86,0.5677,0.252,0.2007,0.114
Aaron Judge,0.4006,0.2632,0.1293,0.0147,0.0926,0.114
Aaron Judge,0.8414,0.7065,0.6813,0.4061,0.1106,0.124
Aaron Judge,0.3716,0.8917,0.4998,0.1693,0.1701,0.114
Aaron Judge,0.7405,0.8455,0.6234,0.3899,0.0864,0.192
Aaron Judge,0.8214,0.7597,0.5902,0.3706,0.0688,0.207
Aaron Judge,0.8872,0.915,0.659,0.5359,0.0829,0.207
Aaron Judge,0.3797,0.7036,0.6319,0.1679,0.137,0.132
Aaron Judge,0.7421,0.9223,0.7664,0.5239,0.1003,0.192
Aaron Judge,0.8676,0.8059,0.5477,0.3854,0.0425,0.207
Aaron Judge,0.8017,0.5936,0.2066,0.0975,0.0323,0.114
Aaron Judge,0.9116,0.7989,0.7171,0.5217,0.259,0.101
Aaron Judge,0.5076,0.8936,0.6575,0.2995,0.146,0.168
Aaron Judge,0.8419,0.8691,0.7035,0.5125,0.1253,0.192
Aaron Judge,0.9363,0.9247,0.717,0.6194,0.0439,0.207
Aaron Judge,0.4858,0.9239,0.692,0.3129,0.17,0.157
Aaron Judge,0.5197,0.9008,0.571,0.2675,0.1087,0.146
Aaron Judge,0.8058,0.778,0.5428,0.3429,0.0913,0.192
Aaron Judge,0.4534,0.572,0.2272,0.0592,0.0937,0.114
Aaron Judge,0.8124,0.8727,0.6095,0.4317,0.0789,0.177
Aaron Judge,0.4567,0.7188,0.4678,0.1519,0.0959,0.14
Aaron Judge,0.7357,0.8916,0.5708,0.3765,0.083,0.192
Aaron Judge,0.3475,0.7263,0.4672,0.1179,0.1037,0.092
Kevin McGonigle,0.2605,0.6064,0.2953,0.0478,0.0061,0.016
Kevin McGonigle,0.1917,0.8552,0.0714,0.0117,0.0,0.02
Kevin McGonigle,0.8512,0.8691,0.4193,0.3105,0.0041,0.124
Kevin McGonigle,0.9156,0.8777,0.348,0.2797,0.0023,0.146
Kevin McGonigle,0.9476,0.9248,0.3481,0.305,0.0019,0.177
Kevin McGonigle,0.4686,0.7847,0.2497,0.0927,0.0056,0.098
